"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"73021";"1050010";"1013400";"PV22  ";"2022JJ00";"   109.3";"      49";"    36.6";"    35.0";"    56.7";"    54.2";"       3";"       4";"       7";"      10";"      13";"      14";"      14";"      14";"      12";"       7"
"73022";"1050010";"1013400";"PV22  ";"2023JJ00";"   110.3";"      49";"    39.5";"    37.8";"    61.2";"    58.6";"       3";"       4";"       7";"      10";"      12";"      14";"      14";"      14";"      13";"       8"
"73023";"1050010";"1013400";"PV22  ";"2024JJ00";"   111.3";"      49";"    42.5";"    40.7";"    65.8";"    63.0";"       3";"       4";"       7";"      10";"      12";"      14";"      14";"      14";"      13";"       8"
"73034";"1050010";"1013400";"PV23  ";"2021JJ00";"   272.5";"      54";"    34.0";"    32.7";"    52.9";"    50.8";"       5";"       4";"       7";"      10";"      12";"      14";"      14";"      13";"      12";"       7"
"73035";"1050010";"1013400";"PV23  ";"2022JJ00";"   277.8";"      54";"    35.8";"    34.5";"    55.5";"    53.4";"       6";"       4";"       7";"      10";"      12";"      14";"      14";"      14";"      12";"       7"
"73036";"1050010";"1013400";"PV23  ";"2023JJ00";"   280.5";"      54";"    38.7";"    37.4";"    60.1";"    57.8";"       5";"       4";"       7";"      10";"      12";"      14";"      14";"      14";"      12";"       7"
"73037";"1050010";"1013400";"PV23  ";"2024JJ00";"   281.8";"      54";"    41.7";"    40.3";"    64.8";"    62.2";"       4";"       4";"       7";"      10";"      12";"      13";"      14";"      14";"      13";"       8"
"73048";"1050010";"1013400";"PV24  ";"2021JJ00";"   103.9";"      58";"    35.3";"    33.6";"    54.9";"    51.8";"       4";"       4";"       8";"      10";"      11";"      13";"      14";"      14";"      13";"       9"
"73049";"1050010";"1013400";"PV24  ";"2022JJ00";"   107.5";"      59";"    37.3";"    35.6";"    57.8";"    54.8";"       4";"       4";"       7";"      10";"      12";"      13";"      13";"      14";"      13";"      10"
"73050";"1050010";"1013400";"PV24  ";"2023JJ00";"   110.0";"      59";"    40.2";"    38.3";"    62.2";"    59.0";"       4";"       4";"       7";"      10";"      11";"      13";"      13";"      14";"      13";"      10"
