"ID";"Inkomensbegrippen";"Inkomensklassen";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"PersonenPerHuishouden_2";"PersonenMetInkomenPerHuishouden_3";"GemiddeldInkomen_4";"MediaanInkomen_5"
"443";"A043964";"T001226";"A025368";"2020JJ00";"950.8";"2.4";"1.7";"44.5";"29.8"
"444";"A043964";"T001226";"A025368";"2021JJ00";;;;;
"445";"A043964";"T001226";"A025368";"2022JJ00";;;;;
"446";"A043964";"T001226";"A025368";"2023JJ00";;;;;
"447";"A043964";"T001226";"A025368";"2024JJ00";;;;;
"455";"A043964";"T001226";"1013395";"2018JJ00";"4824.8";"2.5";"1.9";"81.8";"70.1"
"456";"A043964";"T001226";"1013395";"2019JJ00";"4912.6";"2.5";"1.9";"86.8";"73"
"457";"A043964";"T001226";"1013395";"2020JJ00";"4910";"2.5";"1.9";"88.7";"75.6"
"458";"A043964";"T001226";"1013395";"2021JJ00";"4972.5";"2.5";"1.9";"92";"78.1"
"459";"A043964";"T001226";"1013395";"2022JJ00";"5108.1";"2.5";"1.9";"98";"83.1"
"460";"A043964";"T001226";"1013395";"2023JJ00";"5187";"2.4";"1.9";"107.7";"88.2"
"461";"A043964";"T001226";"1013395";"2024JJ00";"5230.7";"2.4";"1.9";"112.7";"93.1"
"469";"A043964";"T001226";"1013400";"2018JJ00";"4111.1";"2.5";"1.9";"79.8";"69.9"
"470";"A043964";"T001226";"1013400";"2019JJ00";"4177.5";"2.4";"1.9";"83.2";"72.8"
"471";"A043964";"T001226";"1013400";"2020JJ00";"4193.4";"2.4";"1.9";"86.4";"75.5"
"472";"A043964";"T001226";"1013400";"2021JJ00";"4220.7";"2.4";"1.9";"89.6";"77.8"
"473";"A043964";"T001226";"1013400";"2022JJ00";"4311.5";"2.4";"1.9";"95.6";"83.1"
"474";"A043964";"T001226";"1013400";"2023JJ00";"4361.5";"2.4";"1.9";"101.9";"88.4"
"475";"A043964";"T001226";"1013400";"2024JJ00";"4401.5";"2.4";"1.9";"108.1";"93.6"
"483";"A043964";"T001226";"1013601";"2018JJ00";"713.8";"2.8";"2";"93.5";"71.5"
"484";"A043964";"T001226";"1013601";"2019JJ00";"735.1";"2.7";"2";"107.4";"74.2"
"485";"A043964";"T001226";"1013601";"2020JJ00";"716.6";"2.7";"2";"102.2";"76.6"
"486";"A043964";"T001226";"1013601";"2021JJ00";"751.8";"2.7";"2";"105.1";"80.2"
"487";"A043964";"T001226";"1013601";"2022JJ00";"796.6";"2.7";"2";"110.6";"83.2"
"488";"A043964";"T001226";"1013601";"2023JJ00";"825.4";"2.7";"2";"138.2";"86.6"
"489";"A043964";"T001226";"1013601";"2024JJ00";"829.2";"2.6";"2";"137.2";"89.9"
"497";"A043964";"T001226";"1013602";"2018JJ00";"526.4";"2.7";"2";"78.2";"61.9"
"498";"A043964";"T001226";"1013602";"2019JJ00";"543.1";"2.7";"2";"81.4";"64.2"
"499";"A043964";"T001226";"1013602";"2020JJ00";"524.1";"2.7";"2";"84.4";"66.6"
"500";"A043964";"T001226";"1013602";"2021JJ00";"552.6";"2.6";"2";"89.5";"70.2"
"501";"A043964";"T001226";"1013602";"2022JJ00";"583.6";"2.6";"2";"93";"73"
"502";"A043964";"T001226";"1013602";"2023JJ00";"599.1";"2.6";"2";"97.1";"75.7"
"503";"A043964";"T001226";"1013602";"2024JJ00";"601.5";"2.6";"1.9";"99.5";"78"
"511";"A043964";"T001226";"1013603";"2018JJ00";"165.7";"3.1";"2.2";"149.3";"107.3"
"512";"A043964";"T001226";"1013603";"2019JJ00";"169.5";"3.1";"2.3";"200.2";"115.7"
"513";"A043964";"T001226";"1013603";"2020JJ00";"170.3";"3.1";"2.3";"165.6";"112.7"
"514";"A043964";"T001226";"1013603";"2021JJ00";"176.3";"3.1";"2.3";"162.3";"115.2"
"515";"A043964";"T001226";"1013603";"2022JJ00";"187.7";"3";"2.3";"175.1";"119.1"
